IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.91.29.251,443,443,true,FRA,Europe,Frankfurt,257,5.67
34.107.41.98,443,443,true,FRA,Europe,Frankfurt,299,5.66
34.90.246.126,443,443,true,FRA,Europe,Frankfurt,257,5.66
34.91.29.106,443,443,true,FRA,Europe,Frankfurt,269,5.65
34.154.135.130,443,443,true,FRA,Europe,Frankfurt,259,5.65
34.65.41.59,443,443,true,FRA,Europe,Frankfurt,250,5.65
34.154.207.2,443,443,true,FRA,Europe,Frankfurt,249,5.65
34.159.240.233,443,443,true,FRA,Europe,Frankfurt,254,5.65
34.154.95.194,443,443,true,FRA,Europe,Frankfurt,259,5.64
34.154.192.208,443,443,true,FRA,Europe,Frankfurt,256,5.64
34.154.219.131,443,443,true,FRA,Europe,Frankfurt,254,5.63
34.154.29.94,443,443,true,FRA,Europe,Frankfurt,263,5.63
34.154.47.183,443,443,true,FRA,Europe,Frankfurt,263,5.63
34.65.43.5,443,443,true,FRA,Europe,Frankfurt,252,5.63
34.154.217.195,443,443,true,FRA,Europe,Frankfurt,260,5.62
34.89.248.224,443,443,true,FRA,Europe,Frankfurt,252,5.62
34.154.19.214,443,443,true,FRA,Europe,Frankfurt,253,5.62
34.91.155.205,443,443,true,FRA,Europe,Frankfurt,258,5.61
34.154.189.64,443,443,true,FRA,Europe,Frankfurt,249,5.61
34.90.106.152,443,443,true,FRA,Europe,Frankfurt,262,5.61
34.65.51.214,443,443,true,FRA,Europe,Frankfurt,251,5.61
34.154.165.18,443,443,true,FRA,Europe,Frankfurt,324,5.61
34.90.19.236,443,443,true,FRA,Europe,Frankfurt,260,5.60
34.91.165.175,443,443,true,FRA,Europe,Frankfurt,257,5.60
34.65.227.171,443,443,true,FRA,Europe,Frankfurt,250,5.59
34.65.237.96,443,443,true,FRA,Europe,Frankfurt,251,5.59
34.91.69.203,443,443,true,FRA,Europe,Frankfurt,261,5.59
34.91.206.56,443,443,true,FRA,Europe,Frankfurt,256,5.58
34.90.159.221,443,443,true,FRA,Europe,Frankfurt,263,5.58
34.65.221.238,443,443,true,FRA,Europe,Frankfurt,253,5.57
34.154.110.88,443,443,true,FRA,Europe,Frankfurt,250,5.57
34.65.41.120,443,443,true,FRA,Europe,Frankfurt,252,5.57
34.154.105.105,443,443,true,FRA,Europe,Frankfurt,256,5.57
34.107.17.213,443,443,true,FRA,Europe,Frankfurt,338,5.57
35.234.100.223,443,443,true,FRA,Europe,Frankfurt,262,5.57
34.154.12.16,443,443,true,FRA,Europe,Frankfurt,257,5.56
34.65.238.241,443,443,true,FRA,Europe,Frankfurt,250,5.56
34.90.244.116,443,443,true,FRA,Europe,Frankfurt,264,5.56
34.118.67.21,443,443,true,FRA,Europe,Frankfurt,274,5.56
34.91.155.205,443,443,true,FRA,Europe,Frankfurt,257,5.55
34.107.17.213,443,443,true,FRA,Europe,Frankfurt,249,5.55
34.118.92.6,443,443,true,FRA,Europe,Frankfurt,271,5.54
34.90.114.100,443,443,true,FRA,Europe,Frankfurt,258,5.54
34.91.75.60,443,443,true,FRA,Europe,Frankfurt,258,5.53
34.154.126.40,443,443,true,FRA,Europe,Frankfurt,251,5.53
34.65.52.186,443,443,true,FRA,Europe,Frankfurt,252,5.53
34.65.34.181,443,443,true,FRA,Europe,Frankfurt,253,5.53
34.116.248.189,443,443,true,FRA,Europe,Frankfurt,266,5.53
34.107.25.251,443,443,true,FRA,Europe,Frankfurt,316,5.52
34.65.119.65,443,443,true,FRA,Europe,Frankfurt,258,5.52
34.118.125.53,443,443,true,FRA,Europe,Frankfurt,268,5.52
34.65.181.48,443,443,true,FRA,Europe,Frankfurt,272,5.51
34.116.142.118,443,443,true,FRA,Europe,Frankfurt,270,5.50
