IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.243.60.150,2095,0,false,HKG,Asia Pacific,Hong Kong,57,27.19
8.218.222.36,8880,0,false,HKG,Asia Pacific,Hong Kong,57,21.47
8.217.49.34,8880,0,false,HKG,Asia Pacific,Hong Kong,54,21.20
47.243.74.220,80,0,false,HKG,Asia Pacific,Hong Kong,42,15.56
8.217.193.25,2095,0,false,HKG,Asia Pacific,Hong Kong,54,14.01
8.210.55.134,2052,0,false,HKG,Asia Pacific,Hong Kong,53,11.24
47.242.234.127,2083,0,true,HKG,Asia Pacific,Hong Kong,41,11.04
8.217.121.207,8080,0,false,HKG,Asia Pacific,Hong Kong,54,10.30
8.210.245.224,2053,0,true,HKG,Asia Pacific,Hong Kong,46,10.16
47.243.169.63,2082,0,false,HKG,Asia Pacific,Hong Kong,54,9.97
8.210.156.6,2083,0,true,HKG,Asia Pacific,Hong Kong,62,8.65
47.243.60.150,2052,0,false,HKG,Asia Pacific,Hong Kong,41,8.58
8.218.174.118,2052,0,false,HKG,Asia Pacific,Hong Kong,54,8.38
47.242.155.183,2086,0,false,HKG,Asia Pacific,Hong Kong,54,7.75
8.217.207.60,2086,0,false,HKG,Asia Pacific,Hong Kong,53,7.11
47.243.107.148,2082,0,false,HKG,Asia Pacific,Hong Kong,54,7.09
47.243.74.220,8080,0,false,HKG,Asia Pacific,Hong Kong,46,6.54
47.242.59.216,2086,0,false,HKG,Asia Pacific,Hong Kong,62,6.17
103.44.255.81,443,0,true,HKG,Asia Pacific,Hong Kong,43,6.11
8.210.65.1,2095,0,false,HKG,Asia Pacific,Hong Kong,58,6.02
8.210.55.134,80,0,false,HKG,Asia Pacific,Hong Kong,48,6.00
47.242.79.71,8880,0,false,HKG,Asia Pacific,Hong Kong,58,5.50
8.210.146.108,80,0,false,HKG,Asia Pacific,Hong Kong,59,5.42
8.210.192.93,2086,0,false,HKG,Asia Pacific,Hong Kong,41,5.24
8.218.211.17,2082,0,false,HKG,Asia Pacific,Hong Kong,46,5.24
47.243.139.243,2052,0,false,HKG,Asia Pacific,Hong Kong,42,5.15
8.210.175.109,2052,0,false,HKG,Asia Pacific,Hong Kong,54,4.94
8.210.66.190,2087,0,true,HKG,Asia Pacific,Hong Kong,54,4.68
8.217.248.220,8080,0,false,HKG,Asia Pacific,Hong Kong,54,4.59
47.243.139.243,2086,0,false,HKG,Asia Pacific,Hong Kong,53,4.50
47.243.206.150,2052,0,false,HKG,Asia Pacific,Hong Kong,54,4.47
8.210.192.93,8880,0,false,HKG,Asia Pacific,Hong Kong,43,4.24
8.218.53.110,80,0,false,HKG,Asia Pacific,Hong Kong,54,3.82
8.218.204.128,2095,0,false,HKG,Asia Pacific,Hong Kong,54,3.40
8.218.222.36,2082,0,false,HKG,Asia Pacific,Hong Kong,46,3.17
8.218.211.17,8880,0,false,HKG,Asia Pacific,Hong Kong,59,2.95
8.217.250.222,2082,0,false,HKG,Asia Pacific,Hong Kong,57,2.84
